Target Name,Mass [MJ],Mass [ME],Radius [RJ],Radius [RE],SMA [au],Host,Teff [K],log(L) [Lsun],R [Rsun],M [Msun],Instrument,EAP [mon],Proposal ID,Status,Type
WASP-127 b,0.1800,57.20,1.3798,15.4669,0.052,G5,5828,0.276,1.3330,0.9500,NIRISS / SOSS,12,1201,,Transit
WASP-127 b,0.1800,57.20,1.3798,15.4669,0.052,G5,5828,0.276,1.3330,0.9500,NIRSpec / BOTS,12,2437,,Transit
WASP-166 b,0.1020,32.41,0.6300,7.0620,0.067,F9,6086,0.288,1.2527,1.1410,NIRISS / SOSS,12,2062,,Transit
WASP-166 b,0.1020,32.41,0.6300,7.0620,0.067,F9,6086,0.288,1.2527,1.1410,NIRSpec / BOTS,12,2062,,Transit
WASP-17 b,0.4860,154.44,1.7400,19.5045,0.052,F4,6548,0.613,1.5732,1.3540,MIRI / LRS,12,1353,,T + E
WASP-17 b,0.4860,154.44,1.7400,19.5045,0.052,F4,6548,0.613,1.5732,1.3540,NIRSpec / BOTS,12,1353,,T + E
WASP-17 b,0.4860,154.44,1.7400,19.5045,0.052,F4,6548,0.613,1.5732,1.3540,NIRISS / SOSS,12,1353,,T + E
WASP-19 b,1.1390,361.94,1.3860,15.5364,0.017,G8,5616,-0.043,1.0060,0.9560,NIRSpec / BOTS,12,1274,,Eclipse
WASP-39 b,0.2800,88.98,1.2700,14.2361,0.049,G8,5326,-0.128,1.0130,0.9180,MIRI / LRS,0,1366,Completed,Transit
WASP-39 b,0.2800,88.98,1.2700,14.2361,0.049,G8,5326,-0.128,1.0130,0.9180,NIRCam / GTS,0,1366,Completed,Transit
WASP-39 b,0.2800,88.98,1.2700,14.2361,0.049,G8,5326,-0.128,1.0130,0.9180,NIRISS / SOSS,0,1366,Completed,Transit
WASP-39 b,0.2800,88.98,1.2700,14.2361,0.049,G8,5326,-0.128,1.0130,0.9180,NIRSpec / BOTS,0,1366,Completed,Transit
WASP-43 b,2.0520,652.07,0.9300,10.4248,0.015,K7,4124,-0.825,0.7576,0.6500,NIRSpec / BOTS,12,1224,,Phase Curve
WASP-52 b,0.4600,146.17,1.2700,14.2361,0.027,K2,5087,-0.354,0.8568,0.8530,NIRISS / SOSS,12,1201,,Transit
WASP-52 b,0.4600,146.17,1.2700,14.2361,0.027,K2,5087,-0.354,0.8568,0.8530,NIRSpec / BOTS,12,1224,,Eclipse
WASP-69 b,0.2600,82.62,1.1100,12.4426,0.045,K5,4746,-0.453,0.8775,0.7600,MIRI / LRS,12,1177,,Eclipse
WASP-69 b,0.2600,82.62,1.1100,12.4426,0.045,K5,4746,-0.453,0.8775,0.7600,NIRCam / GTS,12,1185,,Eclipse
WASP-77A b,1.7600,559.28,1.1679,13.0916,0.024,G8,5617,-0.129,0.9100,0.9030,NIRSpec / BOTS,12,1274,,Eclipse
WASP-80 b,0.5540,176.05,0.9860,11.0526,0.035,K7,3965,-1.045,0.6466,0.6170,MIRI / LRS,12,1177,,T + E
WASP-80 b,0.5540,176.05,0.9860,11.0526,0.035,K8,3965,-1.045,0.6466,0.6170,NIRCam / GTS,12,1185,,T + E
WASP-80 b,0.5540,176.05,0.9860,11.0526,0.035,K9,3965,-1.045,0.6466,0.6170,NIRISS / SOSS,12,1201,,Eclipse
