Target Name,Mass [MJ],Mass [ME],Radius [RJ],Radius [RE],SMA [au],T_eq [K],Host,Teff [K],log(L) [Lsun],R [Rsun],a/Rs,M [Msun],Instrument,EAP [mon],Proposal ID,Type,,
HD 80606 b,4.1641,1323.23,0.9800,10.9853,0.460,405,G5,5565,-0.002,1.0665,92.7693,1.0741,NIRSpec / BOTS,12,2488,Eclipse,,
HIP 67522 b,5.0000,1588.86,0.8984,10.0706,,1174,G0,5675,0.243,1.3800,,1.2200,NIRSpec / BOTS,12,2498,Transit,,
K2-141 b,0.0160,5.08,0.1332,1.4931,0.007,2039,K?,4477,-0.721,0.7245,2.1242,0.7000,MIRI / LRS,12,2347,Phase Curve,,
K2-18 b,0.0281,8.93,0.1940,2.1746,0.143,284,M2.5,3457,-1.600,0.4445,69.0998,0.4951,NIRSpec / BOTS,12,2372,Transit,,
Kepler-51 b,0.0070,2.22,0.7670,8.5977,0.251,543,G?,5670,-0.142,0.8810,61.3346,0.9850,NIRSpec / BOTS,12,2454,Transit,,
Kepler-51 d,0.0240,7.63,0.7988,8.9542,0.251,381,G?,5670,-0.142,0.8810,61.3346,0.9850,NIRSpec / BOTS,12,2571,Transit,,
L 168-9 b,0.0145,4.61,0.1552,1.7397,0.021,965,M2,3800,-1.170,0.6000,7.4906,0.6200,NIRSpec / BOTS,0,2512,Transit,,
L 98-59 b,0.0013,0.41,,,0.022,627,M3,3415,-1.948,0.3030,15.5352,0.2730,NIRSpec / BOTS,0,2512,Transit,,
L 98-59 c,0.0070,2.22,0.1236,1.3855,0.030,553,M3,3415,-1.948,0.3030,21.5649,0.2730,NIRISS / SOSS,12,1201,Transit,,
L 98-59 d,0.0061,1.94,0.1357,1.5211,0.049,416,M3,3415,-1.948,0.3030,34.4754,0.2730,NIRISS / SOSS,12,1201,Transit,,
L 98-59 d,0.0061,1.94,0.1357,1.5211,0.049,416,M3,3415,-1.948,0.3030,34.4754,0.2730,NIRSpec / BOTS,12,1224,Transit,,
LHS 3844 b,,,0.1162,1.3025,0.006,805,M?,3004,-2.583,0.1886,7.0659,0.1579,MIRI / LRS,12,1846,Eclipse,,
LP 791-18 b,,,0.1075,1.2050,0.010,650,M6,2949,-2.698,0.1714,12.1515,0.1416,NIRSpec / BOTS,12,1201,Transit,,
LTT 1445A b,0.0090,2.86,0.1230,1.3788,0.038,424,M3.0,3340,-2.046,0.2650,30.9026,0.2570,MIRI / LRS,12,2708,Eclipse,,
LTT 1445A b,0.0090,2.86,0.1230,1.3788,0.038,424,M3.0,3340,-2.046,0.2650,30.9026,0.2570,NIRSpec / BOTS,0,2512,Transit,,
LTT 9779 b,0.0923,29.31,0.4210,4.7192,0.017,1978,G8,5443,-0.150,0.9490,3.8028,0.7700,NIRISS / SOSS,12,1201,Phase Curve,,
TOI 260 b,,,,,,,M0,,,,,,NIRSpec / BOTS,0,2512,Transit,,
TOI 421 b,0.0511,16.24,0.1718,1.9258,0.118,981,G9,5325,-0.273,0.8710,29.1686,0.8520,NIRISS / SOSS,12,1935,Transit,,
TOI 421 b,0.0511,16.24,0.1718,1.9258,0.118,981,G9,5325,-0.273,0.8710,29.1686,0.8520,NIRSpec / BOTS,12,1935,Transit,,
TOI 776 b,0.0130,4.13,0.1650,1.8496,0.065,514,M1,3709,-1.300,0.5380,26.0484,0.5440,NIRSpec / BOTS,0,2512,Transit,,
TOI 836 b,0.0143,4.54,0.1520,1.7040,0.042,871,K7,4552,-0.853,0.6650,13.6398,,NIRSpec / BOTS,0,2512,Transit,,
TOI 836 c,0.0302,9.60,0.2308,2.5870,0.075,665,K7,4552,-0.853,0.6650,24.2413,,NIRSpec / BOTS,0,2512,Transit,,
TRAPPIST-1 b,0.0027,0.86,0.1000,1.1210,0.011,397,M7.5,2566,-3.260,0.1192,20.0153,0.0898,MIRI / Imaging,12,1279,Eclipse,,
TRAPPIST-1 b,0.0027,0.86,0.1000,1.1210,0.011,397,M7.5,2566,-3.260,0.1192,20.0153,0.0898,NIRISS / SOSS,0,2589,Transit,,
TRAPPIST-1 c,0.0043,1.37,0.0942,1.0559,0.015,339,M7.5,2566,-3.260,0.1192,27.4084,0.0898,MIRI / Imaging,12,2304,Eclipse,,
TRAPPIST-1 c,0.0043,1.37,0.0942,1.0559,0.015,339,M7.5,2566,-3.260,0.1192,27.4084,0.0898,NIRSpec / BOTS,0,2420,Transit,,
TRAPPIST-1 c,0.0043,1.37,0.0942,1.0559,0.015,339,M7.5,2566,-3.260,0.1192,27.4084,0.0898,NIRISS / SOSS,0,2589,Transit,,
TRAPPIST-1 d,0.0013,0.41,0.0699,0.7835,0.021,286,M7.5,2566,-3.260,0.1192,38.6603,0.0898,NIRSpec / BOTS,12,1201,Transit,,
