Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Flag,Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Type,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations
HD 260655,0.44,-0.01,0.01,3803,-10,10,0.44,0,0,10.0055,-0.00505,0.00505,5.2,-0.07,0.07,Gaia DR2 3359074685047632640,6.031,6.674,5.862,9.63,8.876041,,,,,0,-0.43,-0.04,0.04,[Fe/H],5,-3,3,M0 V,99.2915429,17.5662696,HD 260655 b,1.244196861,0.022417961,-0.022417961,0.111,0.002,-0.002,2.138985176,0.340076395,-0.340076395,0.00673,0.00107,-0.00107,0,1,1.69,2.76953,-3.00E-05,3.00E-05,686.5375303,4391904836,0.02937729,0.3,2.3,4148.019214,0.665,1,87.35,-0.14,0.14,0.039,-0.023,0.043,0,57,-160,70,9497.9102,0.0003,-0.0003,0,9499.294965,4428.542706,1,0.065,0.000384,-0.000384,2,2022,M-W-ESE,Transit,2,12,22
HD 28109,1.26,-0.08,0.08,6120,-50,50,1.45,-0.04,0.04,139.611,-0.427,0.429,4.13,-0.1,0.1,Gaia DR2 4668163021600295552,8.256,8.476,8.175,9.42,9.29976,8.136,8.175,8.155,7.997,0,0,-0.1,0.1,[Fe/H],1.1,-0.1,0.1,F8/G0 V,65.2383065,-68.1026875,HD 28109 c,4.225785736,0.112089807,-0.112089807,0.377,0.01,-0.01,7.942531881,4.227117808,-3.044796135,0.02499,0.0133,-0.00958,0,1,0,56.00819,-0.00202,0.00194,657.8068034,46293766858,0.309657303,0.1,2.3,32202.98012,0.365,1,89.543,-0.086,0.093,0,,,1,,,,8377.80109,0.00724,-0.00733,0,8405.805185,0,1,0.0834,0.0015,-0.0017,2,2022,F-W-N,Transit,3,13,23
HD 332231,1.13,-0.08,0.08,6089,-96,97,1.28,-0.04,0.04,80.6665,-0.1908,0.1917,4.28,-0.03,0.03,Gaia DR2 2056007995732413312,7.3,7.509,7.242,8.558,8.41839,7.114,7.229,7.22,7.326,0,0.036,-0.058,0.059,[Fe/H],4.3,-1.9,2.5,F8,306.741134,33.7443882,HD 332231 b,9.718186294,0.30264248,-0.280224518,0.867,0.027,-0.025,77.55013121,6.674396538,-6.674396538,0.244,0.021,-0.021,0,1,17.3,18.71204,-0.00043,0.00043,847.4614068,21495038093,0.143779519,0.3,2.3,22626.36518,0.133,1,89.68,-0.28,0.22,0.032,-0.022,0.03,0,47,-74,69,8729.67987,0.00038,-0.00038,0,8739.03589,23710.80882,1,0.4867,0.0058,-0.0055,2,2020,F-W-J,Transit,1,2,4
HD 63935,0.93,-0.05,0.05,5534,-100,100,0.96,-0.04,0.04,48.9739,-0.1053,0.1057,4.38,-0.1,0.1,Gaia DR2 3145754895088191744,6.964,7.304,6.881,8.58,8.39353,6.805,6.884,6.878,6.786,0,0.07,-0.06,0.06,[Fe/H],6.8,-1.9,1.8,,117.9246417,9.3852412,HD 63935 b,2.992797855,0.134507769,-0.134507769,0.267,0.012,-0.012,10.79980926,1.798908781,-1.798908781,0.03398,0.00566,-0.00566,0,1,3.18,9.058811,-1.60E-05,1.70E-05,877.5252816,12419566251,0.083074022,0.3,2.3,12117.26471,0.49,1,88.49,-0.002,0.002,0,,,0,0,,,8494.4462,0.001,-0.001,0,8498.975606,0,1,0.078,5.00E-05,-5.00E-05,2,2021,G-W-SN,Transit,4,18,33
HD 63433,0.99,-0.03,0.03,5640,-74,74,0.91,-0.03,0.03,22.4035,-0.0225,0.0225,4.53,-0.09,0.09,Gaia DR2 875071278432954240,5.359,5.624,5.258,6.92035,6.71831,5.246,5.129,5.297,5.163,0,0.017,-0.017,0.017,[M/H],0.414,-0.023,0.023,G5IV,117.4793699,27.3631342,HD 63433 c,2.667737414,0.123298788,-0.123298788,0.238,0.011,-0.011,7.668228062,0,0,0.024126944,0,0,1,0,0,20.5453,-0.0013,0.0012,698.3904838,21890282660,0.146423295,0.1,2.3,14543.10542,0.512,1,89.147,-0.2,0.069,0,,,0,,,,8844.05799,0.00084,-0.00087,0,8854.33064,0,1,0.0722,0.0038,-0.0037,2,2020,G-W-SN,Transit,4,9,14
HD 63433,0.99,-0.03,0.03,5640,-74,74,0.91,-0.03,0.03,22.4035,-0.0225,0.0225,4.53,-0.09,0.09,Gaia DR2 875071278432954240,5.359,5.624,5.258,6.92035,6.71831,5.246,5.129,5.297,5.163,0,0.017,-0.017,0.017,[M/H],0.414,-0.023,0.023,G5IV,117.4793699,27.3631342,HD 63433 b,2.1521243,0.100880827,-0.100880827,0.192,0.009,-0.009,5.335182392,0,0,0.016786361,0,0,1,0,0,7.10793,-0.00034,0.0004,934.2619124,10787938769,0.072160126,0.3,2.3,11540.51277,0.18,1,89.38,-0.64,0.43,0,,,0,,,,8916.4526,0.0032,-0.0027,0,8920.006565,0,1,0.0467,0.0024,-0.0023,2,2020,G-W-SN,Transit,4,10,16
HD 73583,0.73,-0.02,0.02,4511,-110,110,0.65,-0.02,0.02,31.5666,-0.032,0.0321,4.62,-0.12,0.12,Gaia DR2 5746824674801810816,7.092,7.649,6.948,9.67,9.27033,6.85,6.963,6.921,6.723,0,0,-0.09,0.09,[Fe/H],0.48,-0.19,0.19,K4 V,129.6883026,-13.2565267,HD 73583 b,2.791036202,0.100880827,-0.100880827,0.249,0.009,-0.009,10.19911357,3.400763951,-3.098826964,0.03209,0.0107,-0.00975,0,1,4.37,6.398042,-6.20E-06,6.70E-06,688.1489057,9085949618,0.060775583,0.3,2.3,7634.109075,0.566,1,88.37,-0.18,0.18,0.09,-0.06,0.09,0,-76,-86,234,8517.69013,0.00056,-0.00059,0,8520.889151,0,1,0.1656,0.005331,-0.005331,2,2022,K-W-SN,Transit,2,14,27
HD 89345,1.16,-0.05,0.04,5576,-76,73,1.75,-0.05,0.05,132.345,-0.799,0.808,4.02,-0.03,0.03,Gaia DR2 3877070590167177344,7.766,8.091,7.721,9.38,9.21702,7.673,7.759,7.729,7.757,0,0.421,-0.054,0.046,[Fe/H],7.53,-0.99,1.3,G5,154.6710977,10.1288464,HD 89345 b,7.397927282,0.31385146,-0.336269422,0.66,0.028,-0.03,36.70918096,5.720911319,-6.038739725,0.1155,0.018,-0.019,0,1,9.2,11.8143,-0.0002,0.0002,1053.137838,15958398511,0.106745141,0.3,2.3,20189.86833,0.645,1,87.21,-0.22,0.43,0.22,-0.13,0.095,0,-13,-27,58,7913.8052,0.0011,-0.001,0,7919.71235,0,1,0.1509,0.0085,-0.0091,1,2018,G-H-J,Transit,2,8,16
HIP 41378,1.17,-0.07,0.07,6226,-43,43,1.34,-0.03,0.03,106.289,-0.668,0.676,4.2,-0.03,0.03,Gaia DR2 600698184764497664,7.786,7.982,7.722,8.93,8.80998,7.662,7.732,7.732,7.86,0,-0.11,-0.08,0.08,[M/H],4.279,-0.931,0.931,F6,126.6158279,10.0803708,HIP 41378 f,10.20017247,1.401122591,-1.401122591,0.91,0.125,-0.125,74.4309993,0,0,0.234186113,0,0,1,0,0,1084,,,242.5842789,3.25571E+11,2.177734489,0.1,2.3,89211.90839,0.227,1,89.98,-0.006,0.009,0,,,0,,,,7186.91423,0.00039,-0.00038,0,7728.91423,0,1,0.5,,,1,2016,F-T-J,Transit,5,11,17
HIP 65 A,0.78,-0.03,0.03,4590,-49,49,0.72,-0.01,0.01,61.7856,-0.0804,0.0806,4.61,-0.01,0.01,Gaia DR2 4923860051276772608,8.4,8.922,8.29,11,10.5895,8.121,8.177,8.095,8.123,0,0.18,-0.08,0.08,[Fe/H],4.1,-2.8,4.3,K4 V,0.1856063,-54.8308228,HIP 65 A b,22.75423088,6.837478246,-5.492400558,2.03,0.61,-0.49,1021.18267,24.79061571,-24.79061571,3.213,0.078,-0.078,0,1,753.7,0.9809734,-3.10E-06,3.10E-06,1361.757722,2660935422,0.017798899,0.3,2.3,6612.983369,0,1,90,-1,0.92,0,,,0,291.42,,,8326.10418,0.00011,-0.00011,0,8326.594667,0,1,8.2,5.8,-3.4,2,2020,K-H-MJ,Eclipse,1,0,0
HIP 94235,1.09,-0.01,0.02,5991,-50,50,1.08,-0.1,0.11,58.5146,-0.1258,0.1263,4.46,-0.05,0.05,Gaia DR2 6632318361397624960,6.966,7.201,6.881,8.31,8.16034,6.841,6.823,6.836,6.728,0,0,,,[m/H],0.118,-0.016,0.018,G V,287.7411441,-60.2726358,HIP 94235 b,3.004006836,0.325060441,-0.280224518,0.268,0.029,-0.025,9.36589338,0,0,0.029468396,0,0,1,0,0,7.713057,-2.10E-05,2.10E-05,1035.349611,11763173600,0.078683435,0.3,2.3,13900.46835,0,1,90,-0.17,0.16,0.32,-0.2,0.2,0,17,-92,67,9037.8704,0.0011,-0.0022,0,9041.726928,16769.96142,1,0.072848,0.007465,-0.007465,2,2022,G-H-SN,Transit,3,14,25
HIP 67522,1.22,-0.05,0.05,5675,-75,75,1.38,-0.06,0.06,127.28,-1.087,1.105,4.2,-0.09,0.07,Gaia DR2 6113920619134019456,8.287,8.587,8.164,9.79,9.63261,8.108,8.122,8.077,8.121,0,0,,,,0.017,-0.002,0.002,G1 V,207.526001,-40.8358961,HIP 67522 b,10.0656647,0.470777191,-0.470777191,0.898,0.042,-0.042,72.84574788,0,0,0.229198355,0,0,1,0,0,6.959503,-1.50E-05,1.60E-05,1125.922381,11404337840,0.076283196,0.3,2.3,17071.22499,0.134,1,89.34,-0.54,0.45,0.059,-0.046,0.193,0,-17,-149,92,8604.02371,0.00036,-0.00037,0,8607.503461,0,1,,,,2,2020,G-H-J,Transit,1,3,5
HR 858,1.15,-0.08,0.07,6201,-50,50,1.31,-0.02,0.02,31.964,-0.072,0.0722,4.26,-0.04,0.03,Gaia DR2 5064574720469473792,5.225,5.473,5.149,6.38,6.25276,5.098,4.941,5.171,5.1,0,-0.14,-0.08,0.08,[Fe/H],,,,F6 V,42.9849779,-30.8140609,HR 858 b,2.084870416,0.067253884,-0.067253884,0.186,0.006,-0.006,5.022195906,0,0,0.015801595,0,0,1,0,0,3.58599,-0.00015,0.00015,1509.965895,7186817931,0.048072361,0.3,2.3,10338.67702,0.59,1,85.5,-0.5,1.5,0,,,1,,,,8409.18969,0.00084,-0.00083,0,8410.982685,0,1,0.0213,0.001,-0.001,2,2019,F-VH-SN,Transit,7,17,28
K2-107,1.3,-0.05,0.05,6061,-96,96,1.81,-0.06,0.06,685.2,-19.364,20.502,4.04,-0.03,0.03,Gaia DR2 4081684580199958528,11.257,11.564,11.21,13.012,12.7669,11.165,11.207,11.096,8.123,0,0.14,-0.06,0.06,[Fe/H],4.25,-1.75,1.75,F9 IV,284.985355,-22.2934206,K2-107 b,15.98400652,0.549240056,-0.549240056,1.426,0.049,-0.049,266.9758615,25.42627253,-25.42627253,0.84,0.08,-0.08,0,1,95.5,3.313959,-2.40E-05,2.40E-05,1745.017257,7103033310,0.047511928,0.3,2.3,12767.93912,0.74,1,82.361,-0.263,0.336,0,,,0,,,,7311.15178,0.0003,-0.0003,0,7312.808759,0,1,0.6658,0.002,-0.002,1,2017,G-VH-J,Eclipse,1,10,21
K2-121,0.69,-0.03,0.03,4690,-41,43,0.67,-0.01,0.01,169.398,-1.048,1.061,4.63,-0.02,0.02,Gaia DR2 662078902422542336,10.742,11.309,10.616,13.229,12.9247,10.549,10.612,10.533,8.299,0,-0.16,-0.06,0.05,[Fe/H],,,,,126.9366624,17.5793267,K2-121 b,7.52122607,0.224179615,-0.179343692,0.671,0.02,-0.016,44.38444739,0,0,0.139649089,0,0,1,0,0,5.1857539,-5.00E-07,6.00E-07,786.418736,7751557004,0.05184988,0.3,2.3,9000.642202,0.34,1,89.027,-0.538,0.568,0.22,-0.18389,0.194341,0,72.97,-104.5057,64.8569,7143.560581,7.80E-05,-7.60E-05,0,7146.153458,13795.98987,1,1.307,2.40E-05,-2.40E-05,1,2017,K-W-J,Transit,1,12,24
K2-138,0.94,-0.02,0.02,5356.3,-13.1,41.8,0.86,-0.02,0.03,202.585,-1.989,2.028,4.54,-0.04,0.02,Gaia DR2 2413596935442139520,10.384,10.756,10.305,12.246,12.0252,10.274,10.332,10.279,8.84,0,0.14,-0.04,0.04,[M/H],2.8,-1.7,3.8,G8 V,348.9490311,-10.8497391,K2-138 f,2.903126009,0.168134711,-0.112089807,0.259,0.015,-0.01,1.630459726,2.119915472,-1.179143388,0.00513,0.00667,-0.00371,0,0,0.47,12.75758,-0.00048,0.0005,715.9111619,15659797120,0.104747807,0.3,2.3,11601.78806,0.56,1,88.8,-0.2,0.2,0.062,-0.043,0.064,0,144,-80,117,7738.70235,0.00093,-0.00092,0,7745.08114,12479.37014,1,,,,1,2017,G-W-SN,Transit,1,9,18
K2-140,0.96,-0.04,0.06,5585,-120,120,1.06,-0.06,0.07,347.917,-7.917,8.287,4.4,-0.2,0.2,Gaia DR2 3579426053724051584,11.068,11.421,10.995,12.727,12.4814,10.985,11.03,10.891,8.898,0,0.1,-0.1,0.1,[Fe/H],9.8,-4.6,3.4,G6 V,188.1373172,-9.6076115,K2-140 b,13.56286668,1.008808266,-1.008808266,1.21,0.09,-0.09,295.5804181,12.71313626,-12.71313626,0.93,0.04,-0.04,0,1,104.1,6.569188,-3.10E-05,3.10E-05,1030.34523,10131245783,0.06776753,0.3,2.3,13623.19886,0.42,1,88.3,-0.1,0.1,0,,,0,90,,,7588.28509,5.00E-05,-5.00E-05,0,7591.569684,0,1,1.557,0.002,-0.002,1,2017,G-H-J,Eclipse,2,20,40
K2-141,0.71,-0.03,0.03,4599,-79,79,0.68,-0.02,0.02,61.8736,-0.1654,0.1662,4.62,-0.03,0.02,Gaia DR2 2643952940813536768,8.524,9.086,8.401,11.454,10.7217,8.311,8.391,8.311,7.93,0,-0.06,-0.1,0.08,[Fe/H],6.3,-4.7,6.6,K7 V,350.9170464,-1.1891827,K2-141 c,6.994403976,4.5956821,-2.802245183,0.624,0.41,-0.25,39.1410104,0,0,0.123151391,0,0,1,0,0,7.7485,-0.00022,0.00022,720.1851074,10228120933,0.068415525,0.1,2.3,10786.66464,0,1,90,-2,1.6,0,,,0,90,,,7751.1546,0.001,-0.001,0,7755.02885,0,1,,,,1,2018,K-W-J,Transit,1,2,4
K2-232,1.19,-0.03,0.03,6154,-60,60,1.16,-0.02,0.02,130.72,-0.759,0.768,4.38,-0.02,0.02,Gaia DR2 3406687485600728192,8.48,8.739,8.434,9.822,9.72626,8.38,8.419,8.391,8.518,0,0.1,-0.04,0.04,[Fe/H],1.43,-0.75,0.82,,73.7667927,18.654323,K2-232 b,11.20898073,0.246597576,-0.224179615,1,0.022,-0.02,122.9995934,13.98444989,-13.34879308,0.387,0.044,-0.042,0,1,35.4,11.168454,-2.30E-05,2.30E-05,960.1079447,15502759397,0.103697387,0.3,2.3,17323.04469,0.108,1,89.14,-0.11,0.13,0.258,-0.025,0.025,0,207,-3.8,3.6,7825.349782,9.30E-05,-9.30E-05,0,7830.934009,13690.44825,1,0.966,0.000215,-0.000215,1,2018,F-W-J,Transit,1,4,7
K2-237,1.26,-0.07,0.05,6360,-200,190,1.26,-0.03,0.03,314.995,-6.91,7.221,4.34,-0.03,0.02,Gaia DR2 6032746832450438400,10.268,10.508,10.217,11.602,11.4668,10.105,10.129,9.972,8.496,0,0.137,-0.049,0.05,[Fe/H],1.02,-0.74,1.6,F9 V,253.7688479,-28.7105836,K2-237 b,16.19697716,0.549240056,-0.504404133,1.445,0.049,-0.045,433.2001182,34.96112473,-29.24021341,1.363,0.11,-0.092,0,1,183,2.18053539,-8.50E-07,8.60E-07,1765.693593,5317778632,0.035570426,0.3,2.3,10926.53866,0.201,1,88.03,-0.82,1.1,0.042,-0.028,0.034,0,74,-38,38,7702.255123,3.20E-05,-3.10E-05,0,7703.345391,11845.93139,1,1.385,0.065,-0.06,1,2018,F-VH-MJ,Eclipse,1,1,2
K2-238,1.19,-0.08,0.08,5630,-78,78,1.59,-0.16,0.16,537.963,,,4.11,-0.07,0.07,Gaia DR2 2631270757088861312,12.095,12.464,12.032,13.973,13.6635,11.854,11.927,11.771,8.964,0,0.34,-0.04,0.04,[Fe/H],5.63,-1.97,1.05,G2 V,347.7043164,-7.8575592,K2-238 b,14.57167495,1.68134711,-1.569257302,1.3,0.15,-0.14,273.3324297,41.31769286,-38.13940879,0.86,0.13,-0.12,0,1,100,3.20466,-3.00E-05,3.00E-05,1559.112909,6744269868,0.045112173,0.3,2.3,15748.26345,0,1,90,-1.5,1.8,0,,,0,90,,,7740.5036,0.0004,-0.0004,0,7742.10593,0,1,0.743739,0.065595,-0.065595,1,2018,G-VH-J,Eclipse,1,8,16
K2-24,1.07,-0.06,0.06,5625,-60,60,1.16,-0.04,0.04,170.562,-1.338,1.36,4.29,-0.05,0.05,Gaia DR2 6049750234317822208,9.294,9.635,9.18,11.275,10.9072,9.122,9.166,9.105,8.674,0,0.34,-0.04,0.04,[Fe/H],5.1,-1.9,1.9,G9 V,242.5734559,-24.9906029,K2-24 c,7.498808109,0.30264248,-0.30264248,0.669,0.027,-0.027,15.3987863,1.900613871,-1.798908781,0.04845,0.00598,-0.00566,0,1,0,42.3391,-0.0012,0.0012,610.0267679,36379242660,0.243339416,0.1,2.3,24882.74247,0.44,1,89.76,-0.21,0.18,0,,,1,,,,6915.4485,0.0078,-0.0079,0,6936.61805,0,1,0.4372,0.0026,-0.0026,1,2016,G-W-J,Transit,1,2,4
K2-260,1.39,-0.06,0.05,6367,-250,250,1.69,-0.03,0.03,663.834,-18.342,19.395,4.15,,,Gaia DR2 3394923127797114496,11.189,11.4,11.093,12.624,12.4667,11.039,11.036,10.895,9.006,0,-0.14,-0.15,0.15,[Fe/H],1.9,-0.3,0.3,F6 V,76.8673317,16.8676948,K2-260 b,17.39633809,0.538031075,-0.638911902,1.552,0.048,-0.057,451.3163374,98.52680604,-101.7050901,1.42,0.31,-0.32,0,1,178,2.6266657,-1.80E-06,1.80E-06,1892.764397,6220702736,0.041610052,0.3,2.3,14949.96005,0.122,1,88.67,-1,0.89,0,,,0,90,,,7820.738135,9.00E-05,-9.00E-05,0,7822.051468,0,1,0.947,0.0062,-0.0048,1,2018,F-VH-MJ,Eclipse,1,4,8
K2-261,1.09,-0.05,0.05,5445,-76,77,1.64,-0.06,0.06,213.283,-1.941,1.975,4.04,-0.03,0.03,Gaia DR2 3807826337147474176,8.92,9.337,8.89,10.612,10.4594,8.828,8.897,8.819,8.281,0,0.36,-0.059,0.059,[Fe/H],9.3,-1.6,2,G7 IV/V,163.0323119,0.493167,K2-261 b,9.527633621,0.392314326,-0.381105345,0.85,0.035,-0.034,63.72459552,8.263538571,-8.899195385,0.2005,0.026,-0.028,0,1,0,11.633478,-1.70E-05,1.70E-05,1011.116718,15470815054,0.103483713,0.3,2.3,23453.2013,0.35,1,88.07,-0.65,1.1,0.286,-0.069,0.064,0,131,-17,16,7976.64192,0.00028,-0.00033,0,7982.458659,36364.71563,1,0.2814,0.012,-0.0078,1,2018,G-H-J,Transit,1,11,22
K2-266,0.69,-0.03,0.03,4285,-57,49,0.7,-0.02,0.02,77.5586,-0.3549,0.3581,4.58,-0.04,0.03,Gaia DR2 3855246074629979264,9.041,9.611,8.897,11.625,11.3527,8.815,8.903,8.794,8.292,0,-0.12,-0.42,0.4,[Fe/H],,,,,157.9356855,0.9372782,K2-266 b,3.295440335,1.804645898,-1.300241765,0.294,0.161,-0.116,10.97030229,0,0,0.034516431,0,0,1,0,0,0.658524,-1.70E-05,1.70E-05,1461.13458,1958373010,0.013099485,0.3,2.3,4750.819404,0,1,90,-0.7,0.62,0,,,0,,,,7949.6747,0.0032,-0.0032,0,7950.003962,0,1,0.18,0.25,-0.12,1,2018,K-H-SN,Transit,1,14,28
K2-29,0.94,-0.02,0.02,5358,-38,38,0.86,-0.01,0.01,178.475,-1.301,1.32,4.54,-0.01,0.01,Gaia DR2 150054788545735424,10.168,10.622,10.062,12.532,12.2008,10.095,10.142,9.991,7.549,0,0.16,-0.03,0.03,[Fe/H],2.6,-1.2,1.2,G7 V,62.670422,24.4016558,K2-29 b,13.33868707,0.224179615,-0.224179615,1.19,0.02,-0.02,213.421775,12.71313626,-12.71313626,0.6715,0.04,-0.04,0,1,0,3.2588321,-1.90E-06,1.90E-06,1128.666724,6304470081,0.042170368,0.3,2.3,8377.879156,0.58,1,86.656,-0.08,0.11,0.066,-0.022,0.022,0,132,-21,21,3219.0095,0.0022,-0.0022,0,3220.638916,9242.095914,1,1.9011,0.0053,-0.0055,1,2016,G-H-J,Eclipse,1,3,6
K2-287,1.06,-0.02,0.02,5695,-58,58,1.07,-0.01,0.01,158.335,-1.277,1.297,4.4,-0.01,0.01,Gaia DR2 6239702034929248512,9.283,9.677,9.188,11.41,11.067,9.114,9.148,9.089,8.152,0,0.2,-0.04,0.04,[Fe/H],4.5,-1,1,,233.0743401,-22.3583447,K2-287 b,9.494006679,0.14571675,-0.14571675,0.847,0.013,-0.013,100.1159481,8.581366978,-8.581366978,0.315,0.027,-0.027,0,1,28.8,14.893291,-2.50E-05,2.50E-05,790.3634319,18071479875,0.120879464,0.3,2.3,18244.31596,0,1,90,-0.08,0.1,0.478,-0.026,0.025,0,10.1,-4.2,4.6,8001.72138,0.00016,-0.00016,0,8009.168026,21582.83898,1,,,,1,2018,G-W-J,Transit,1,13,25
K2-31,0.91,-0.06,0.06,5280,-70,70,0.78,-0.07,0.07,110.527,-0.712,0.72,4.6,-0.07,0.07,Gaia DR2 6050191241556876672,8.942,9.318,8.866,10.802,10.5371,8.817,8.859,8.811,8.215,0,0.08,-0.05,0.05,[Fe/H],,,,G7 V,245.4405531,-23.548273,K2-31 b,11.88151957,3.923143256,-3.923143256,1.06,0.35,-0.35,563.8275933,25.10844412,-25.10844412,1.774,0.079,-0.079,0,1,350.9,1.25785,-2.00E-06,2.00E-06,1462.69507,3306214402,0.022115147,0.3,2.3,3353.321915,0.975,1,79.9,-0.8,0.8,0,,,0,,,,7191.70889,0.00024,-0.00024,0,7192.337815,0,1,0.716,0.024,-0.024,1,2016,K-H-J,Eclipse,1,1,2
K2-32,0.83,-0.02,0.02,5271,-35,39,0.86,-0.02,0.02,157.682,-1.288,1.309,4.49,-0.03,0.03,Gaia DR2 4130539180358512768,9.993,10.404,9.821,12.304,12.0036,9.754,9.787,9.887,8.412,0,-0.06,-0.03,0.03,[Fe/H],7.9,-4.5,4.5,G9 V,252.426008,-19.5430504,K2-32 b,5.301847886,0.190552672,-0.190552672,0.473,0.017,-0.017,15.00150079,1.798908781,-1.700381975,0.0472,0.00566,-0.00535,0,1,5.22,8.992,-8.00E-05,8.00E-05,808.2261244,11898572909,0.079589116,0.3,2.3,12440.12796,0.34,1,89,-0.3,0.5,0.03,-0.021,0.032,0,220,-161,77,6900.92676,0.00031,-0.00031,0,6905.42276,11969.42325,1,0.3802,0.0027,-0.0027,1,2016,K-W-N,Transit,1,9,18
K2-34,1.16,-0.04,0.04,6168,-76,46,1.42,-0.05,0.06,348.646,-6.106,6.323,4.2,-0.03,0.03,Gaia DR2 665757593450097920,10.258,10.528,10.193,11.447,11.4357,10.174,10.207,10.159,8.342,0,0.01,-0.04,0.03,[Fe/H],2.88,-0.24,0.26,F,127.5787231,22.2359194,K2-34 b,13.75341936,0.582866998,-0.594075979,1.227,0.052,-0.053,352.7895313,149.3793511,-149.3793511,1.11,0.47,-0.47,0,1,209,2.9956348,-2.00E-07,2.00E-07,1657.950934,6393076299,0.042763052,0.3,2.3,8984.969478,0.83,1,82.23,-0.19,0.19,0,,,0,,,,7141.351483,6.90E-05,-7.00E-05,0,7142.8493,0,1,0.78,2.60E-05,-2.60E-05,1,2016,F-VH-J,Eclipse,1,4,8
K2-406,0.8,-0.25,0.34,5784,-138,138,0.96,-0.05,0.06,85.3751,-0.6151,0.6239,4.37,-0.15,0.15,Gaia DR2 6214868495365748096,8.163,8.431,8.033,9.465,9.49379,8.016,8.03,8.022,7.955,0,-0.038,-0.235,0.235,[Fe/H],,,,G4,230.8872242,-25.3706149,K2-406 b,4.60689108,0.31385146,-0.291433499,0.411,0.028,-0.026,19.28317529,0,0,0.060671655,0,0,1,0,0,22.549406,-0.001433,0.001377,693.946982,21694586634,0.145114292,0.3,2.3,17008.33961,0.544,1,89.04067932,,,0,,,0,,,,8010.3895,0.0025,-0.0023,0,8021.664203,0,1,,,,1,2022,G-W-N,Transit,2,12,23
K2-52,1.69,-0.14,0.16,7147,-506,483,2.19,-0.23,0.28,1038.41,-62.873,71.37,3.98,-0.09,0.09,Gaia DR2 6049057713786919936,12.126,12.729,11.853,15.93,15.2553,11.674,11.685,11.517,7.918,0,0.055,-0.139,0.154,[Fe/H],,,,,246.6114157,-24.9699462,K2-52 b,18.00162305,2.196960223,-2.196960223,1.606,0.196,-0.196,610.036077,0,0,1.919388149,0,0,1,0,0,3.535055,-1.60E-05,1.70E-05,2120.419327,8093275633,0.054135623,0.3,2.3,18902.24624,0.32,1,86.46,-1.91,2.04,0,,,0,,,,6896.02618,0.00108,-0.00111,0,6897.793708,0,1,0.6314,0.0077,-0.0077,1,2016,F-VH-MJ,Eclipse,1,10,21
KELT-1,1.32,,0.03,6518,,50,1.46,,0.04,268.43,-2.989,3.057,4.25,-0.08,0.11,Gaia DR2 2881784280929695360,9.534,9.682,9.437,10.632,10.5905,9.414,9.419,9.386,8.851,0,0.131,-0.009,0.009,[M/H],,,,,0.3620995,39.3837953,KELT-1 b,12.44196861,0.358687383,-0.246597576,1.11,0.032,-0.022,8654.467512,158.9142033,-152.5576352,27.23,0.5,-0.48,0,1,0,1.217514,-1.50E-05,1.50E-05,2347.251172,3662170833,0.024496126,0.3,2.3,9919.092594,0.232,1,87.8,-1.9,1.3,0.0099,-0.0069,0.01,0,61,-79,71,5914.1628,0.0023,-0.0022,0,5914.771557,10092.36652,1,0.6086,0.0094,-0.0089,1,2012,F-VH-J,Eclipse,1,1,2
