pl_name	pl_orbsmax	pl_eqt	pl_orbper	pl_masse	pl_masseerr1	pl_masseerr2	pl_rade	pl_radeerr1	pl_radeerr2	st_rad	st_mass	st_teff	st_spectype	sy_jmag	sy_vmag	sy_kmag	sy_dist	sy_pnum	hostname	disc_year	TSM	td_perc	sig_prim_ppm	sig_seco_ppm	ARIEL	JWST
GJ 9827 b	0.0188	1175.0	1.2089819	5.14	0.47	-0.47	1.577	0.027	-0.031	0.6	0.61	4305.0		7.984	10.37	7.193	29.661	3	GJ 9827	2017	79.0	0.058063007512193815	139.0	11.0		
TOI-969 b	0.02636	941.0	1.8237305	9.1	1.0	-1.0	2.765	0.088	-0.097	0.67	0.73	4435.0	K V	9.596	11.646	8.879	77.2554	2	TOI-969	2022	75.0	0.1431460298516574	272.0	22.0		
HD 183579 b	0.1334	769.0	17.471278	19.7	4.0	-3.9	3.55	0.15	-0.12	0.98	1.03	5788.0		7.518	8.67	7.15	57.2651	1	HD 183579	2021	73.0	0.11029179279230585	102.0	8.0	True	
TOI-1246 d	0.131	586.0	18.6559	5.3	1.7	-1.7	3.51	0.09	-0.09	0.86	0.87	5151.0	K V	10.294	11.632	9.907	169.422	4	TOI-1246	2022	72.0	0.14000900588047882	361.0	29.0	True	
HD 63935 c		684.0	21.4023	11.1	2.4	-2.4	2.9	0.13	-0.13	0.96	0.93	5534.0		7.304	8.58	6.881	48.9739	2	HD 63935	2021	72.0	0.07669943614091133	91.0	7.0		
TOI-776 b	0.0652	514.0	8.24661	4.0	0.9	-0.9	1.85	0.13	-0.13	0.54	0.54	3709.0	M1 V	8.483	11.536	7.615	27.1701	2	TOI-776	2020	71.0	0.0986494296461016	156.0	12.0		True
TOI-244 b	0.0559	458.0	7.397225	2.68	0.3	-0.3	1.52	0.12	-0.12	0.43	0.43	3433.0	M2.5 V	8.827	12.861	7.97	22.0337	1	TOI-244	2023	70.0	0.10502408492991397	181.0	15.0		
HD 3167 c	0.1776	564.0	29.8454	11.13	0.78	-0.74	3.0	0.45	-0.21	0.88	0.84	5261.0		7.548	8.97	7.066	47.2899	4	HD 3167	2016	70.0	0.09768228421361928	99.0	8.0		
K2-25 b	0.0287	494.0	3.48456408	24.5	5.7	-5.2	3.44	0.12	-0.12	0.29	0.26	3207.0	M4.5 V	11.303	16.21	10.444	44.9565	1	K2-25	2015	69.0	1.1826589720800484	546.0	44.0		
TOI-824 b	0.02177	1253.0	1.392978	18.467	1.843	-1.875	2.926	0.202	-0.191	0.69	0.71	4600.0	K4 V	9.145001	11.314	8.432	63.9262	1	TOI-824	2020	68.0	0.15114337079486345	200.0	16.0		True
TOI-269 b	0.0345	531.0	3.6977104	8.8	1.4	-1.4	2.77	0.12	-0.12	0.4	0.39	3514.0	M2 V	10.909	14.37	10.1	57.0225	1	TOI-269	2021	68.0	0.4030678854385076	448.0	36.0		
TOI-178 e	0.0783	600.0	9.961881	3.86	1.25	-0.94	2.207	0.088	-0.09	0.65	0.65	4316.0	K	9.372	11.955	8.656	62.699	6	TOI-178	2021	67.0	0.09689839744914665	221.0	18.0		
HD 93963 A c	0.04813	1344.0	3.6451398	19.2	4.1	-4.1	3.228	0.059	-0.059	1.04	1.11	5987.0	G0 V	8.108	9.182	7.776	82.3432	2	HD 93963 A	2022	67.0	0.08097277348409812	122.0	10.0		
TOI-1468 c		337.5	15.532482	6.64	0.67	-0.68	2.064	0.044	-0.044	0.34	0.34	3496.0	M3.0 V	9.343	12.5	8.497	24.7399	2	TOI-1468	2022	66.0	0.309742067808785	216.0	17.0		True
TOI-2136 b	0.057	395.0	7.851928	6.37	2.45	-2.29	2.19	0.17	-0.17	0.34	0.34	3342.0	M4.5 V	10.184	14.32	9.343	33.3631	1	TOI-2136	2022	65.0	0.3487137218076103	315.0	25.0		
