# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: rp^2_value, datatype: float64}
# - {name: rp^2_errorneg, datatype: float64}
# - {name: rp^2_errorpos, datatype: float64}
# schema: astropy-2.0
wavelength bin_width rp^2_value rp^2_errorneg rp^2_errorpos
3.2835 0.007500000000000062 0.007601560592796037 8.808051981477102e-05 8.579469231388345e-05
3.299 0.008000000000000007 0.007657524031904175 8.638384441862247e-05 8.22250251693692e-05
3.3145 0.007500000000000062 0.007588674518215893 8.252404253146668e-05 8.477187411898117e-05
3.3295000000000003 0.007500000000000062 0.007557287158591923 8.553595882899914e-05 9.520807593021811e-05
3.345 0.008000000000000007 0.007612357117056166 7.420420519761023e-05 8.497521496417249e-05
3.3605 0.00749999999999984 0.007641775712776339 7.915279202582847e-05 7.784785686251652e-05
3.3754999999999997 0.007500000000000062 0.007535159327980857 8.640261928716687e-05 8.104812187139342e-05
3.391 0.008000000000000007 0.007600810091827519 8.650846670040305e-05 8.410747830545767e-05
3.4065000000000003 0.007500000000000062 0.007655738884934378 8.034845443636099e-05 8.376626818428368e-05
3.4215 0.00749999999999984 0.0076658217308797445 8.894784793623493e-05 8.7057436504708e-05
3.437 0.008000000000000007 0.007654919552680137 7.71004034867762e-05 7.679550306616788e-05
3.4524999999999997 0.007500000000000062 0.007571466251904525 8.204015186405889e-05 8.593592151486928e-05
3.4675000000000002 0.007500000000000062 0.007647800514775074 8.292324867648516e-05 8.973635199163808e-05
3.483 0.008000000000000007 0.007607981898298579 8.162989814850929e-05 8.278160651434621e-05
3.4985 0.00749999999999984 0.007677401684405948 8.135453896368407e-05 8.423340182937486e-05
3.5134999999999996 0.007500000000000062 0.007598515791468352 9.118567946020222e-05 8.300062347310708e-05
3.529 0.008000000000000007 0.007609742814897113 7.831977414759442e-05 7.553654600253243e-05
3.5445 0.007500000000000062 0.0076335730894261915 8.959998912504673e-05 8.992326754546278e-05
3.5595 0.007500000000000062 0.007583922329881164 8.688526017838327e-05 9.007672315084186e-05
3.575 0.008000000000000007 0.0077201058990497805 7.964210486155823e-05 9.660440003767153e-05
3.5905 0.00749999999999984 0.00758261264231625 8.24937930404791e-05 7.589407568394432e-05
3.6055 0.007500000000000062 0.007630751178957509 7.5350148141585e-05 9.18360997878391e-05
3.621 0.008000000000000007 0.007578554784248889 8.619472425769239e-05 8.259089544068298e-05
3.6365 0.007500000000000062 0.007602508541181205 8.900526869425746e-05 8.368538672701847e-05
3.6515 0.00749999999999984 0.007669235209010011 8.92091161023758e-05 8.278341143205109e-05
3.667 0.008000000000000007 0.007672297137797194 8.936131991253791e-05 8.029381301170781e-05
3.6825 0.007500000000000062 0.00768726232778497 8.665338709491852e-05 7.951065676123272e-05
3.6975 0.007500000000000062 0.0076487337580075365 8.985942569239656e-05 8.871621183387159e-05
3.713 0.008000000000000007 0.007640995594077167 6.156834989107414e-05 7.498593501853792e-05
3.7285000000000004 0.007500000000000062 0.007674293342969941 7.878127598240706e-05 8.131081033337876e-05
3.7435 0.00749999999999984 0.007613521127225118 7.91203803392872e-05 8.471095454455971e-05
3.759 0.008000000000000007 0.007599339795654174 8.240572381275346e-05 7.978328710199229e-05
3.7744999999999997 0.007500000000000062 0.007631918832974549 7.297098313918584e-05 8.014199871726312e-05
3.7895000000000003 0.007500000000000062 0.00763190215980147 7.807257444339324e-05 8.313239895930795e-05
3.805 0.008000000000000007 0.007694431832341732 8.482882439950039e-05 8.129606881999377e-05
3.8205 0.00749999999999984 0.007651974646428305 8.041868512795054e-05 8.02810399160572e-05
3.8354999999999997 0.007500000000000062 0.007634490559759524 9.001868942658166e-05 8.452591038167218e-05
3.851 0.008000000000000007 0.007731701166593563 8.163156672342641e-05 8.610514011584639e-05
3.8665000000000003 0.007500000000000062 0.0076703372816150205 8.593428931662466e-05 8.185830423858981e-05
3.8815 0.00749999999999984 0.007554680285150651 8.867371289152277e-05 8.1535722143148e-05
3.897 0.008000000000000007 0.007526646357356937 8.729223745279104e-05 8.429795546621363e-05
3.9124999999999996 0.007500000000000062 0.00759038006956215 8.566512897963553e-05 8.345395148671216e-05
3.9275 0.007500000000000062 0.00761179250728732 8.269834793975424e-05 8.631705249072513e-05
3.943 0.008000000000000007 0.007662688614669818 8.327706543374749e-05 7.671476098290546e-05
3.9585 0.007500000000000062 0.007528224873035414 8.270485213243521e-05 8.533134337693898e-05
3.9735 0.00749999999999984 0.0076750236033981505 8.513487422558141e-05 7.743249625809159e-05
3.989 0.008000000000000007 0.007580320987028034 9.323805433927336e-05 7.967810119897424e-05
4.0045 0.00749999999999984 0.007642872067522494 8.09173578831101e-05 8.354204735383248e-05
4.0195 0.007500000000000284 0.007613164671762935 8.529766741088851e-05 7.876318917993119e-05
4.035 0.008000000000000007 0.007626410620771154 8.143491858055019e-05 7.851462823742824e-05
4.0504999999999995 0.00749999999999984 0.007582106055672721 8.865978288671427e-05 8.465197130871991e-05
4.0655 0.007500000000000284 0.0076917405421030515 7.979030949809961e-05 8.087873653352118e-05
4.081 0.008000000000000007 0.007590225743343241 8.30543827481248e-05 8.588187401882292e-05
4.096500000000001 0.00749999999999984 0.0075986610260578786 7.993285592647163e-05 8.586911731255434e-05
4.1114999999999995 0.00749999999999984 0.007588349462059114 8.109445287736786e-05 8.064468580080194e-05
4.127 0.008000000000000007 0.007604777032453339 8.551462109433229e-05 8.405764682216117e-05
4.1425 0.007500000000000284 0.0076135703885666225 7.86191950618827e-05 7.638592989417121e-05
4.157500000000001 0.00749999999999984 0.0075689719399183565 8.007215029305365e-05 8.97328713663709e-05
4.173 0.008000000000000007 0.007643675213089969 8.1131463018678e-05 8.125088374963136e-05
4.1884999999999994 0.00749999999999984 0.007611790143580584 8.36684914935883e-05 8.831321809129201e-05
4.2035 0.007500000000000284 0.007616810564025999 8.258803235032877e-05 9.015071056004288e-05
4.219 0.008000000000000007 0.007600528000088346 8.282535393213178e-05 8.283193819071891e-05
4.234500000000001 0.00749999999999984 0.007599734031600407 8.263325388849826e-05 8.013938314203536e-05
4.249499999999999 0.00749999999999984 0.007600805407691186 8.421988800388826e-05 9.062279908617337e-05
4.265 0.008000000000000007 0.007577354990592525 8.363745891534421e-05 8.486424674728887e-05
4.2805 0.007500000000000284 0.007670473287507522 7.406981354224872e-05 7.880751477472303e-05
4.2955000000000005 0.00749999999999984 0.007616746446321354 7.81380480296013e-05 8.573246850330628e-05
4.311 0.008000000000000007 0.007609563059542726 8.42122962896319e-05 8.35815895418885e-05
4.326499999999999 0.00749999999999984 0.0075549373969406 9.024295930082187e-05 9.143900805537366e-05
4.3415 0.007500000000000284 0.007583140380120919 7.955119353878892e-05 8.46401165656447e-05
4.357 0.008000000000000007 0.007624179485323468 9.010822212329045e-05 8.764372037027741e-05
