	Target Name	Instrument	Type	pl_name	pl_orbper	pl_orbsmax	pl_rade	pl_bmasse	pl_eqt	st_teff
38	HD 189733 b	MIRI / LRS	Transit	HD 189733 b	2.21857567	0.03126	12.666	359.1479	1209.0	5052.0
39	HD 189733 b	NIRCam / GTS	Eclipse	HD 189733 b	2.21857567	0.03126	12.666	359.1479	1209.0	5052.0
40	HD 209458 b	MIRI / LRS	Transit	HD 209458 b	3.52474859	0.04707	15.581	232.0159	1459.0	6091.0
41	HD 209458 b	NIRCam / GTS	Eclipse	HD 209458 b	3.52474859	0.04707	15.581	232.0159	1459.0	6091.0
42	HD 209458 b	NIRCam / GTS	Eclipse	HD 209458 b	3.52474859	0.04707	15.581	232.0159	1459.0	6091.0
43	HD 80606 b	MIRI / LRS	Phase Curve	HD 80606 b	111.4367	0.4565	11.994	1392.0954	405.0	5561.0
44	HD 80606 b	NIRSpec / BOTS	Eclipse	HD 80606 b	111.4367	0.4565	11.994	1392.0954	405.0	5561.0
45	HIP 67522 b	NIRSpec / BOTS	Transit	HIP 67522 b	6.959503		10.07	72.4	1174.0	5675.0
46	K2-141 b	NIRSpec / BOTS	Phase Curve	K2-141 b	0.2803244	0.00747	1.51	4.97	2103.0	4570.0
47	K2-141 b	MIRI / LRS	Phase Curve	K2-141 b	0.2803244	0.00747	1.51	4.97	2103.0	4570.0
48	K2-18 b	NIRSpec / BOTS	Transit	K2-18 b	32.939623	0.1429	2.37	8.92	284.0	3457.0
49	K2-18 b	NIRSpec / BOTS	Transit	K2-18 b	32.939623	0.1429	2.37	8.92	284.0	3457.0
50	K2-18 b	NIRISS / SOSS	Transit	K2-18 b	32.939623	0.1429	2.37	8.92	284.0	3457.0
51	K2-18 b	MIRI / LRS	Transit	K2-18 b	32.939623	0.1429	2.37	8.92	284.0	3457.0
52	K2-18 b	NIRSpec / BOTS	Transit	K2-18 b	32.939623	0.1429	2.37	8.92	284.0	3457.0
53	Kepler-51 b	NIRSpec / BOTS	Transit	Kepler-51 b	45.154	0.2514	7.1	2.1	543.0	6018.0
54	Kepler-51 d	NIRSpec / BOTS	Transit	Kepler-51 d	130.194	0.509	9.7	7.6	381.0	6018.0
55	L 168-9 b	NIRSpec / BOTS	Transit	L 168-9 b	1.4015	0.02091	1.39	4.6	965.0	3800.0
56	L 98-59 c	NIRSpec / BOTS	Transit	L 98-59 c	3.6906777	0.0304	1.385	2.22	553.0	3415.0
57	L 98-59 c	NIRISS / SOSS	Transit	L 98-59 c	3.6906777	0.0304	1.385	2.22	553.0	3415.0
58	L 98-59 d	NIRISS / SOSS	Transit	L 98-59 d	7.4507245	0.0486	1.521	1.94	416.0	3415.0
59	L 98-59 d	NIRSpec / BOTS	Transit	L 98-59 d	7.4507245	0.0486	1.521	1.94	416.0	3415.0
60	LHS 1140 b	NIRSpec / BOTS	Transit	LHS 1140 b	24.73694	0.0957	1.635	6.38	378.9	2988.0
61	LHS 1140 b	NIRSpec / BOTS	Transit	LHS 1140 b	24.73694	0.0957	1.635	6.38	378.9	2988.0
62	LHS 3844 b	MIRI / LRS	Eclipse	LHS 3844 b	0.46292913	0.00622	1.303	2.25	805.0	3036.0
63	LP 791-18 b	NIRSpec / BOTS	Transit	LP 791-18 b	0.9479981	0.00978	1.212	1.94	564.3	2960.0
64	LTT 1445 A b	MIRI / LRS	Eclipse	LTT 1445 A b	5.3587657	0.03813	1.305	2.87	424.0	3340.0
65	LTT 1445 A b	NIRSpec / BOTS	Transit	LTT 1445 A b	5.3587657	0.03813	1.305	2.87	424.0	3340.0
66	LTT 9779 b	NIRISS / SOSS	Phase Curve	LTT 9779 b	0.792052	0.01679	4.72	29.32	1978.0	5443.0
67	NGTS-10 b	NIRSpec / BOTS	Phase Curve	NGTS-10 b	0.7668944	0.0143	13.507	687.14846	1332.0	4600.0
68	TOI 260 b	NIRSpec / BOTS	Transit							
69	TOI 421 b	NIRISS / SOSS	Transit							
70	TOI 421 b	NIRSpec / BOTS	Transit							
71	TOI 776 b	NIRSpec / BOTS	Transit							
72	TOI 776 c	NIRSpec / BOTS	Transit							
73	TOI 836 b	NIRSpec / BOTS	Transit							
74	TOI 836 c	NIRSpec / BOTS	Transit							
75	TOI 910.01	NIRSpec / BOTS	Transit							
76	TOI-741.01	NIRCam / GTS	Transit							
77	TRAPPIST-1 b	MIRI / Imaging	Eclipse	TRAPPIST-1 b	1.510826	0.01154	1.116	1.374	397.6	2566.0
78	TRAPPIST-1 b	MIRI / Imaging	Eclipse	TRAPPIST-1 b	1.510826	0.01154	1.116	1.374	397.6	2566.0
79	TRAPPIST-1 b	NIRISS / SOSS	Transit	TRAPPIST-1 b	1.510826	0.01154	1.116	1.374	397.6	2566.0
80	TRAPPIST-1 c	MIRI / Imaging	Eclipse	TRAPPIST-1 c	2.421937	0.0158	1.097	1.308	339.7	2566.0
